"new","city","square","rooms","price","floors","owner","floor","address"
0,"Руза",18.23,1,1904476,20,"Аркадий Шварц",13,"Аллея Головинская 829"
0,"Ардон",16.79,1,2089806,24,"Валерий Тынянов",10,"ул. Образцова 303"
0,"Ардон",95.17,7,8352906,17,"Спиридон Кобах",7,"Аллея Прохладная 205"
1,"Горбатов",13.71,1,1909379,10,"Милен Ельчина",8,"Аллея Столетова 880"
0,"Медынь",16.99,1,2650948,15,"Мария Астафьева",2,"Аллея Молчановка М. 1368"
0,"Георгиевск",52.76,5,2015094,4,"Ефим Брагин",3,"Аллея Крамского 237"
0,"Горбатов",50.68,3,9645440,17,"Макар Рачков",6,"ул. Дурова 1269"
1,"Ардон",56.89,3,6846456,5,"Зинаида Тюльпанова",1,"ул. Берингов 1014"
0,"Георгиевск",45.92,4,4869001,6,"Элиана Вахтина",1,"ул. Фрунзенская 822"
0,"Горбатов",39.78,3,5927389,23,"Ада Беломлинская",20,"Аллея Ветошная 418"
0,"Назарово",12.46,1,1723931,16,"Платонида Власова",2,"ул. Серегина 354"
0,"Горбатов",22.18,2,353219,15,"Рамина Пантелеева",1,"Аллея Белокаменная 600"
0,"Озёрск",124.96,7,13832569,6,"Роман Чернов",2,"Аллея Басовская 880"
0,"Горбатов",143.75,9,29867851,19,"Вениамин Саввович",3,"ул. Полосухина 633"
0,"Назарово",41.06,3,3943450,20,"Ириней Ломов",10,"Аллея Лихов 665"
1,"Озёрск",35.27,2,5462649,9,"Мишель Фомина",3,"Аллея Суздальская 510"
0,"Георгиевск",51.48,3,7799579,13,"Индира Ремизова",1,"Аллея Внуково Аэропорт 531"
1,"Ардон",17.1,1,2563126,2,"Виолетта Зотеева",1,"ул. Чкалова (дп им Ларина) 6"
0,"Ардон",21.22,2,436070,10,"Святослав Хлумов",8,"Аллея Полевая (Дер. Захарьино) 289"
0,"Невельск",28.29,2,1845271,15,"Георгий Мартьянов",2,"Аллея Рудневой 882"
1,"Георгиевск",92.54,6,19864681,1,"Устинья Максимушкина",1,"Аллея Огородная 651"
0,"Руза",16.22,1,1699640,18,"Никита Гарасимов",15,"Аллея Старый Гай 1284"
1,"Горбатов",15.34,1,1639470,14,"Мирра Аренская",4,"Аллея Варшавское 605"
0,"Горбатов",22.09,1,2921651,18,"Ляйсан Куратова",7,"Аллея Базовская 1330"
0,"Назарово",106.78,6,24547679,16,"Гульнара Аствацатурова",7,"Аллея Никулинская 1240"
0,"Озёрск",34.8,2,4568995,6,"Софрон Востряков",3,"Аллея Шломина 1144"
1,"Георгиевск",85.62,7,16123219,2,"Виктор Панаев",1,"ул. Хамовнический Вал 665"
0,"Руза",55.08,5,6363993,13,"Лукьян Жарковский",3,"ул. Варварка 961"
1,"Горбатов",36.32,2,5214321,22,"Лаврентий Щепило",14,"Аллея Наташинская 579"
1,"Назарово",19.03,2,2240901,6,"Богдан Каминский",4,"ул. Пионерская Б. 14"
0,"Озёрск",10.0,1,445432,16,"Поликарп Максимов",3,"Аллея Заводской 687"
0,"Назарово",166.91,11,15974736,18,"Сила Тёмкин",6,"Аллея Коровинское 335"
