"rooms","square","address","new","owner","floors","city","price","floor"
1,19.47,"Аллея Гашека 437",0,"Янина Федосова",14,"Калязин",3169763,6
3,57.71,"Аллея Берсеневская 530",0,"Акакий Кобзев",19,"Черемхово",5424798,13
2,22.96,"Аллея Лесной 769",1,"Сергей Иженяков",24,"Калязин",837060,7
2,30.9,"Аллея Лубянка Б. 324",1,"Ария Незнанская",14,"Псков",5642680,9
6,69.46,"Аллея Дубовой Рощи 92",0,"Артур Айтматов",4,"Черногорск",4115898,3
3,36.79,"Аллея Каковинский М. 1204",0,"Андрей Жуковский",23,"Калязин",5987049,7
3,56.35,"Аллея Юлиуса Фучика 318",1,"Иоанна Воскобойникова",16,"Черногорск",10192868,10
1,14.12,"ул. Терешково 639",0,"Айлин Чуковская",21,"Бугуруслан",1537798,18
1,17.85,"ул. Ротерта 728",1,"Мира Соротокина",15,"Барабинск",1183336,4
1,17.85,"ул. Орехово-Зуевская 893",1,"Октябрина Задорова",21,"Псков",1766508,17
3,49.8,"ул. Плещеева 929",1,"Рената Евменова",16,"Псков",6933983,3
2,31.73,"ул. Страстной 1245",1,"Фредерика Северьянова",22,"Балашиха",5076733,5
3,52.07,"ул. Приютская 1254",1,"Рита Бровцева",7,"Барабинск",10071706,6
3,45.66,"Аллея Кропоткинская 737",1,"Поликарп Анемподистов",7,"Черемхово",7571355,4
1,17.47,"ул. Ямская 1-я 305",0,"Алина Мисайлова",12,"Бугуруслан",1226797,6
1,13.06,"ул. Спасская Б. 1107",0,"Ждан Кох",13,"Анива",348186,2
1,12.58,"Аллея Покровские Ворота 73",1,"Степан Тихонов",11,"Черемхово",362668,7
1,19.35,"ул. Маршала Малиновского 621",0,"Аида Кирилова",25,"Псков",987176,20
1,16.33,"ул. Безымянная 427",0,"Иллирика Янковская",22,"Балашиха",611975,13
11,122.73,"Аллея Паперника 993",0,"Яков Тёмкин",10,"Анива",14909188,6
4,59.63,"Аллея Сурикова 467",0,"Мстислав Пантелеев",19,"Анива",11349572,5
3,52.47,"Аллея Малыгина 372",0,"Ростислав Болотов",12,"Черемхово",8548980,2
1,16.48,"Аллея Шарля Де Голля 408",1,"Тихон Манылин",4,"Псков",2314557,2
3,30.32,"Аллея Крупской 365",0,"Зинаида Сбитнева",25,"Балашиха",713392,1
1,20.68,"Аллея Широкая 222",0,"Зарема Рябова",16,"Псков",3761334,13
1,13.63,"ул. Кошкина 1149",1,"Митрофан Аксёнов",6,"Баксан",513085,1
1,17.29,"ул. Чесменская 1276",0,"Филимон Алфёров",3,"Барабинск",1972504,1
4,70.77,"Аллея Чапаевская 155",0,"Виктория Дементьева",5,"Барабинск",6457615,4
1,12.04,"ул. Воробьевская 1287",1,"Елена Булочникова",4,"Баксан",617046,2
1,12.89,"Аллея Казакова 768",0,"Мелисса Лугинова",5,"Баксан",1208411,4
1,13.82,"ул. Наримановская 146",0,"Марфа Малахова",7,"Черемхово",309522,2
