"square","address","new","price","floor","floors","rooms","city","owner"
21.31,"ул. Петровско-Разумовский Стар. 381",1,1791786,2,20,1,"Нефтекумск","Ким Зосимов"
33.33,"ул. Жужа 170",0,4319995,2,16,2,"Саров","Шелли Панюшкина"
86.66,"Аллея Самаркандский Квартал 134а 483",1,6850438,8,18,8,"Суоярви","Валерий Кашафутдинов"
37.34,"ул. Алабушевская 827",0,3026593,2,6,3,"Каменногорск","Артемий Щукин"
112.0,"Аллея Одиннадцати Героев Саперов 235",1,24634962,6,8,6,"Каменногорск","Генриетта Жбанова"
61.38,"Аллея Лодочная 354",1,4197593,12,21,5,"Каменногорск","Ай Орлова"
34.72,"Аллея Пушкина 1016",1,5358472,13,17,2,"Каменногорск","Ирина Григорова"
43.13,"ул. Хорошевского Серебряного Бора 4-я 1269",1,3124934,8,11,3,"Калуга","Магда Ельшина"
74.61,"Аллея Староникольская 801",1,12235381,11,14,4,"Саров","Матвей Пальцев"
14.56,"Аллея Академика Арцимовича 804",0,1043824,7,20,1,"Суоярви","Ефим Писарев"
12.7,"Аллея Братцевская 1334",0,670880,1,2,1,"Камызяк","Леонтий Борцов"
34.51,"Аллея Островная 95",0,6780657,2,5,2,"Советск","Алана Громова"
57.04,"ул. Кооперативная 1057",1,10059138,1,10,4,"Камызяк","Арсений Арефов"
65.84,"ул. Академика Несмеянова 1098",0,5821457,7,19,5,"Суоярви","Эсмеральда Амвросьева"
15.48,"ул. Оружейная 724",0,1525776,22,23,1,"Камызяк","Вавила Арефов"
95.58,"Аллея Кисловский Нижн. 321",1,18724613,1,7,6,"Каменногорск","Емельян Довлатов"
26.99,"ул. Венецианова 1036",1,3938305,5,6,3,"Нефтекумск","Лаура Ковалева"
14.12,"ул. Северянин 238",0,878581,1,3,1,"Каменногорск","Памела Тесакова"
69.55,"ул. Мирской 1051",1,12183096,8,16,5,"Камызяк","Юстин Евсюков"
15.99,"Аллея Лыковская 3-я 1150",1,2322378,9,12,1,"Советск","Егор Сапронов"
16.7,"Аллея Коломенское 565",1,673660,3,11,1,"Суоярви","Разина Серебрянская"
117.1,"Аллея Дегтярная 882",1,11420112,13,18,7,"Камызяк","Алина Рысева"
20.21,"Аллея Новые Сады 3-я 436",1,1419718,1,3,1,"Калуга","Эраст Уваров"
57.74,"ул. Дворцовая 469",0,6413938,11,14,3,"Камызяк","Офелия Тихонова"
14.05,"ул. Лосевская 150",0,1710610,1,1,1,"Коркино","Офелия Стефашина"
16.21,"ул. Маршала Новикова 893",1,922883,1,2,1,"Суоярви","Федосей Филков"
45.85,"ул. Центральная 1259",1,8107129,1,25,3,"Нефтекумск","Григорий Наугольный"
19.17,"Аллея Лыковская 1236",1,1496224,5,19,1,"Нефтекумск","Виталий Шевцов"
54.99,"ул. Узкое 1238",1,3932451,2,3,5,"Саров","Влас Брешковский"
11.16,"Аллея Пожарская 648",1,337094,18,23,1,"Калуга","Паисий Клепов"
12.45,"Аллея Лялина 127",0,287296,1,20,1,"Нефтекумск","Саломея Данихнова"
15.37,"ул. Старобитцевская 513",1,749691,4,24,1,"Калуга","Мелентий Григорьев"
31.02,"Аллея Батюнинская 1054",0,4548332,2,8,2,"Калуга","Сауле Ситникова"
88.19,"Аллея Мансуровская 215",0,8396943,6,21,6,"Каменногорск","Айлин Прудникова"
39.97,"Аллея Петровская 777",1,3291607,16,21,3,"Каменногорск","Лира Бояшова"
100.68,"ул. Базовская 829",1,21139881,1,3,6,"Каменногорск","Арина Леванидова"
16.68,"ул. Парковая 1-я 1249",0,2718307,5,14,1,"Каменногорск","Ядвига Гаврилова"
48.96,"Аллея Новомалино 1106",1,5606583,8,17,3,"Камызяк","Демид Задоров"
51.07,"Аллея Миусская 1-я 316",1,5587980,4,8,3,"Суоярви","Габриэлла Китова"
74.53,"ул. Воронцовский Парк 539",1,10235384,12,22,4,"Калуга","Асель Полуяхтова"
17.24,"Аллея Садовая-Черногрязская 205",0,2645960,2,10,1,"Калуга","Лидия Яворская"
102.03,"ул. Бескудниковская 511",1,22233103,7,14,6,"Калуга","Лаврентий Василов"
70.71,"ул. Шепелюгинская 440",1,15300804,17,25,4,"Камызяк","Вячеслав Васильевич"
