"new","price","owner","square","floors","floor","address","city","rooms"
1,4678237,"Веста Костина",30.52,7,2,"ул. Ивана Сусанина 337","Бирюч",3
1,3369264,"Севастьян Подгородецкий",33.81,18,4,"ул. Зорге 424","Озёры",2
0,778786,"Устинья Бондарева",10.0,11,3,"ул. Лефортовский Вал 1378","Бирюч",1
0,2235682,"Раиса Карпова",19.33,23,4,"Аллея Варварские Ворота 467","Озёры",1
1,826357,"Амалия Боченкова",11.51,21,7,"ул. Новые Сады 3-я 1229","Черноголовка",1
0,1284261,"Арабелла Писемская",20.38,8,7,"ул. Ташкентская 685","Черноголовка",2
1,6772850,"Иоанна Филипьева",40.11,11,8,"Аллея ЦНИИМОД 1131","Озёры",3
0,11371000,"Никанор Аверченко",94.94,24,8,"Аллея Ввц 179","Озёры",6
1,260887,"Потап Евстратов",10.18,6,4,"ул. Ветошная 952","Чегем",1
1,39827948,"Иуда Маляров",177.42,18,13,"Аллея Новохохловская 1306","Нягань",10
1,14994762,"Лилит Садулаева",126.12,13,4,"ул. Прибрежная 380","Бирюч",7
0,2201163,"Николь Федина",17.86,8,3,"ул. Алексея Дикого 187","Озёры",2
1,2024861,"Янина Болучевская",23.29,15,7,"Аллея Поселковая 1091","Бирюч",2
1,328068,"Родослав Болучевский",12.14,18,17,"Аллея Болотная 204","Черноголовка",1
1,916888,"Генриетта Беляева",19.68,8,5,"Аллея Мосфильмовская 355","Нягань",2
0,8852208,"Тереза Зюзюкина",58.52,21,17,"ул. Ефремова 349","Нягань",5
0,23288410,"Федот Житков",105.29,16,1,"ул. Жуков 1102","Бирюч",6
0,4226129,"Вера Долина",36.13,5,2,"Аллея Водопьянова 262","Бирюч",2
0,1387488,"Марта Ланькова",15.62,13,8,"ул. Лялина 22","Черноголовка",1
0,9637832,"Савелий Сошников",60.62,15,1,"Аллея Соловецких Юнг 741","Черноголовка",6
1,3220797,"Иосиф Машкин",30.93,20,5,"ул. Теплостанская 1325","Озёры",2
1,5809842,"Паисий Федулин",40.05,13,1,"ул. Наримановская 77","Озёры",4
0,963464,"Виссарион Дружинин",11.27,8,3,"Аллея Керамическая 170","Черноголовка",1
0,5629586,"Виола Смехова",63.33,4,3,"Аллея Сосновка 395","Нягань",5
0,746022,"Ира Далина",13.03,13,9,"ул. Богоявленская 483","Бирюч",1
0,275194,"Екатерина Хлумова",10.0,11,5,"Аллея Новые Черемушки 29-30 201","Бирюч",1
1,253606,"Евграф Литаврин",11.46,23,22,"ул. Остаповская 810","Черноголовка",1
0,310870,"Сауле Волкова",12.57,24,9,"Аллея Химкинская 457","Нягань",1
1,9089357,"Аиша Задорова",71.33,16,13,"Аллея Прокатная 274","Бирюч",6
0,16330252,"Макар Бурмистров",91.89,24,5,"ул. Лукьяновская 1174","Тихвин",7
1,1412895,"Потап Дубинянский",28.78,20,12,"ул. Рощинская 2-я 1100","Тихвин",2
0,2026351,"Лилит Евменова",17.3,2,1,"ул. Проходчиков 463","Бирюч",1
0,905786,"Акакий Петухов",10.0,9,3,"Аллея Малино 591","Черноголовка",1
0,562079,"Бела Красильникова",14.86,7,5,"Аллея Ширяево Поле 6","Нягань",1
1,5532120,"Емельян Ростов",56.68,4,2,"ул. Берников 1294","Озёры",4
0,3002661,"Иосиф Голофтеев",29.32,8,3,"ул. Девятинский Б. 888","Нягань",2
0,3433639,"Митрофан Сорбатский",27.27,2,1,"ул. Марьинская Б. 441","Нягань",2
0,9108101,"Любовь Ложкомоева",47.49,6,5,"Аллея Шеногина 347","Бирюч",4
1,323419,"Наиля Дзержинская",13.19,11,2,"ул. Юннатов 1070","Озёры",1
0,6553965,"Даяна Митрофаньева",40.29,19,15,"Аллея Раздельная 11","Бирюч",4
1,6373154,"Венедикт Щекин",58.59,16,12,"ул. Красноярская 1124","Нягань",4
1,1138175,"Лаврентий Тихомиров",10.9,10,7,"ул. Деловая 1124","Черноголовка",1
0,8256125,"Германн Капнист",42.01,21,5,"ул. Парковая 7-я 429","Тихвин",3
1,20495449,"Виолетта Смехова",120.64,6,4,"Аллея Михалковская 410","Озёры",7
0,1121021,"Александр Есипов",17.99,15,4,"Аллея Чоботовская 7-я 130","Озёры",1
1,851713,"Владимир Евплов",21.83,3,1,"Аллея Лазенки 3-я 318","Черноголовка",2
0,661838,"Амаль Сараскина",13.23,3,1,"Аллея Верещагина 1169","Бирюч",1
0,259274,"Серафима Ешкилева",11.48,3,2,"Аллея Востряковская 924","Чегем",1
1,1102474,"Мирон Веселый",17.09,14,7,"ул. Чернышевского 1145","Тихвин",1
1,1324947,"Мелисса Меркурьева",16.83,18,13,"ул. Железногорская 6-я 114","Бирюч",1
1,5562523,"Иакинф Пафнутьев",48.71,4,2,"Аллея Нововоротниковская 1076","Нягань",5
1,7757283,"Лаврентий Довлатов",98.03,17,3,"ул. Новые Сады 4-я 692","Озёры",7
0,2828945,"Ария Сараскина",16.97,23,22,"Аллея Пыхов-Церковная 720","Черноголовка",1
0,16332087,"Мелентий Клепов",71.67,17,13,"ул. Липецкая 1199","Черноголовка",4
0,4219427,"Олег Бакунин",38.04,7,6,"ул. Щепкина 987","Черноголовка",3
1,459553,"Трифон Воробьев",11.31,24,2,"Аллея Тимирязевская 864","Тихвин",1
0,2094431,"Лукерья Исакова",29.4,18,3,"ул. Центросоюзная 617","Нягань",3
0,2578085,"Артур Гладилин",20.36,24,3,"Аллея Коштоянца 359","Озёры",2
0,1940345,"Станислав Карпеев",30.78,10,7,"Аллея Барыковская 926","Озёры",2
1,27092151,"Фелиция Федина",124.54,2,1,"Аллея Ясногорская 965","Озёры",7
1,13951504,"Сила Комиссаров",90.1,8,6,"ул. Лазенки 7-я 118","Озёры",5
0,12251888,"Даниил Королюк",54.77,11,9,"ул. Еготьевская 375","Тихвин",3
0,273007,"Артём Ильницкий",12.46,10,5,"Аллея Пуговишников 455","Черноголовка",1
0,5572442,"Арина Чекмаева",32.69,14,11,"Аллея Заводское 1254","Черноголовка",2
1,1488483,"Егор Белокуров",15.6,5,1,"Аллея Петровка 58","Тихвин",1
1,5133400,"Родослав Хрисогонов",28.65,19,7,"ул. Боровская 474","Бирюч",2
0,9708828,"Люция Бажова",110.4,13,9,"Аллея Трехгорный Вал 477","Черноголовка",8
0,2978401,"Герасим Варавва",46.98,25,11,"ул. Кооперативная 379","Нягань",4
1,7690498,"Циара Горбунова",37.87,11,9,"Аллея Причальная 1131","Озёры",2
1,8094654,"Лилия Шесткова",85.92,1,1,"ул. Павлика Морозова 796","Бирюч",5
1,11670822,"Савва Сотников",90.07,16,11,"Аллея Ленивка 1209","Бирюч",5
1,3533968,"Евстафий Нагорный",28.22,19,16,"ул. Сокольническая 2-я 746","Озёры",2
0,13153108,"Арсений Коровин",71.75,9,1,"Аллея Саввинская 1118","Черноголовка",6
1,536875,"Эвита Булычева",16.04,10,7,"Аллея Пенягинская 2-я 396","Бирюч",1
0,1040821,"Валерьян Корабальников",10.37,21,11,"ул. Гамалеи 732","Бирюч",1
0,9128809,"Этери Овчинникова",60.21,1,1,"ул. Марии Ульяновой 38","Бирюч",6
1,340203,"Галина Доронина",12.97,2,1,"Аллея Орловская 193","Бирюч",1
0,351666,"Григорий Губерман",10.0,25,16,"ул. Гончарная 943","Бирюч",1
0,1577637,"Юлиан Вакулин",19.44,5,3,"ул. Головинская 1043","Озёры",2
1,14869447,"Паисий Таралов",79.04,12,3,"ул. Новохохловская 729","Озёры",5
1,11712645,"Сильвестр Удачин",88.46,4,3,"Аллея Рогожский Поселок 386","Нягань",7
0,348871,"Мирон Кетро",13.29,20,9,"Аллея Физкультурная 189","Бирюч",1
0,304016,"Ирина Жарковская",14.37,6,3,"Аллея Сергия Радонежского 1050","Тихвин",1
1,17479358,"Аяна Супрунова",82.42,22,5,"ул. Девятинский Б. 935","Бирюч",5
1,9664808,"Флориана Трефильева",67.82,12,10,"ул. Окружной 1340","Тихвин",5
1,19688953,"Эсмеральда Гедеонова",93.9,15,6,"Аллея Капранова 155","Нягань",5
0,5847871,"Беатрис Банщикова",32.86,13,5,"Аллея Сосновка 403","Нягань",3
1,4768872,"Лиана Пигасьева",64.19,16,13,"ул. Кипренского 943","Озёры",6
0,7204492,"Федот Беляков",57.88,2,1,"Аллея Вертолетчиков 733","Черноголовка",4
1,6244260,"Никодим Гаррос",74.85,15,9,"Аллея Прокудинская 379","Черноголовка",4
1,1130146,"Айсель Чаплина",13.21,18,11,"ул. Курьяновская 30","Черноголовка",1
1,10928666,"Матвей Меркушев",51.57,24,1,"ул. Орлово-Давыдовская 410","Черноголовка",3
0,7248348,"Тея Анхимова",50.4,12,6,"Аллея Учинская 794","Озёры",3
0,1435952,"Вячеслав Герасимов",12.37,5,2,"Аллея Палиха 611","Озёры",1
1,1142288,"Дамира Артамонова",11.51,22,14,"ул. Коровинское 3","Бирюч",1
0,2201528,"Венера Андрианова",20.19,18,10,"ул. Старокаширское 1155","Черноголовка",1
0,2045028,"Тина Беляева",15.48,4,1,"ул. Соколиной Горы 5-я 626","Озёры",1
1,1106911,"Сабина Капустина",13.51,25,22,"Аллея Филевская М. 1007","Чегем",1
0,13854910,"Лиана Астафьева",66.63,23,22,"Аллея Молдагуловой 173","Бирюч",5
1,1272383,"Генриетта Галкина",12.97,6,1,"Аллея Рогожский М. 111","Бирюч",1
1,2724839,"Жанна Гатапова",20.6,2,1,"Аллея Врубеля 701","Черноголовка",2
1,289746,"Сельма Знаменская",10.0,1,1,"Аллея Хорошевская 3-я 760","Озёры",1
1,579109,"Аглая Севастьянова",11.07,2,1,"Аллея Летняя 164","Бирюч",1
1,3106880,"Агафон Радивонов",17.63,5,3,"Аллея Оболенская 1098","Бирюч",1
0,865955,"Гавриил Распутин",10.0,13,6,"Аллея Тарханская 1186","Черноголовка",1
1,1212163,"Германн Герман",22.32,18,12,"Аллея Колесовой Елены 644","Черноголовка",2
1,13226622,"Аэлита Чудинова",66.75,3,2,"ул. Гродненская 939","Бирюч",5
1,16538716,"Фелисити Карасева",89.85,22,21,"ул. Мелькисаровская 1076","Нягань",6
0,290668,"Никита Федулеев",10.0,9,5,"Аллея Южнопортовый 2-й 1302","Черноголовка",1
1,9042417,"Дильназ Евсюкова",47.32,4,1,"ул. Калужская 628","Черноголовка",4
0,13880510,"Федора Одинцова",121.01,20,19,"ул. Заболотье 1314","Черноголовка",7
0,1278521,"Далида Арбузова",16.02,12,8,"ул. Токарная 1104","Нягань",1
1,7041099,"Рузалия Лаврина",53.29,2,1,"ул. Викторио Кодовильи 126","Черноголовка",4
0,5808281,"Лука Плющев",40.1,3,1,"Аллея Мрузовская 789","Тихвин",4
1,9305887,"Леонтий Геласимов",64.63,24,8,"Аллея Крамского 62","Бирюч",4
0,4950747,"Тимур Богомолов",35.94,4,2,"ул. Марьиной Рощи 3-я 740","Нягань",3
1,24566927,"Лейла Помяловская",108.71,12,1,"ул. Боровское 1166","Бирюч",6
1,3736395,"Аделина Водолазкина",42.47,7,5,"ул. Житомирская 554","Озёры",4
0,5728434,"Габриэлла Борисова",45.0,2,1,"ул. Гончарова 1095","Бирюч",4
0,1379382,"Карима Сокурова",21.11,25,14,"ул. Федора Полетаева 947","Нягань",2
1,3477824,"Сауле Идиатуллина",33.71,14,10,"ул. Турчанинов 728","Озёры",3
1,817806,"Урсула Платухина",10.2,7,4,"ул. Ватин Б. 1049","Нягань",1
1,1078958,"Платон Дракохурст",13.73,19,4,"Аллея Ставропольская 802","Тихвин",1
0,17997002,"Донат Есипов",77.33,17,14,"ул. Воробьевская 273","Черноголовка",4
1,7922431,"Этери Гомзикова",70.62,5,2,"Аллея Кипренского 913","Озёры",4
1,756428,"Игорь Долиняк",17.21,19,4,"ул. Радиальная 8-я 1370","Черноголовка",1
0,11535165,"Жозефина Зябликова",100.54,18,9,"ул. Хорошевского Серебряного Бора 3-я 1151","Нягань",7
0,23501759,"Борис Киркиж",102.0,6,4,"ул. Шверника 343","Бирюч",6
1,7750672,"Бела Бояндина",43.97,16,2,"ул. Мытищинская 3-я 845","Нягань",3
1,11432295,"Лукий Гусев",51.78,23,7,"ул. Знаменские Садки 447","Бирюч",3
0,13521566,"Муза Рысева",73.98,10,1,"ул. Зеленоградская 33","Чегем",5
0,6353017,"Тарас Брешковский",42.73,6,4,"ул. Садовническая 1189","Нягань",3
0,5695568,"Лина Савинова",63.88,25,7,"ул. Остаповская 1397","Бирюч",5
0,3745557,"Лили Березовская",42.09,24,7,"Аллея Михайловская 342","Черноголовка",4
0,1488802,"Леонтий Блок",14.06,20,10,"ул. Полянская 1327","Черноголовка",1
0,2721536,"Гоар Советова",16.24,22,14,"ул. Поперечная 1112","Нягань",1
1,3617981,"Сания Долинская",19.28,2,1,"Аллея Новоясеневская 1175","Чегем",1
1,2255216,"Мартын Андрусов",44.65,25,4,"ул. Измайловская Пасека 618","Черноголовка",4
1,307762,"Панкратий Быков",11.96,24,3,"ул. Ордынский М. 424","Нягань",1
0,3248223,"Анита Белезянская",18.9,6,4,"ул. Каманина 929","Нягань",1
0,2667389,"Фёкла Лыткина",15.62,12,2,"ул. Измайловского Зверинца 1-я 304","Нягань",1
1,856739,"Логгин Капитонов",17.29,1,1,"Аллея Бутырская 455","Черноголовка",1
1,1680167,"Корнилий Акбулатов",12.38,7,1,"Аллея Алексинская 1265","Черноголовка",1
1,12476815,"Артём Заостровцев",104.51,13,9,"ул. Парковая 6-я 1006","Тихвин",6
1,1902374,"Ядвига Гладилина",30.5,8,7,"Аллея Коптевская 218","Чегем",2
1,8294249,"Арина Гришина",56.04,9,2,"Аллея Главная 590","Бирюч",4
1,15218748,"Марианна Тропина",82.14,19,18,"Аллея Гродненская 174","Озёры",5
0,4110749,"Илья Путин",51.68,10,8,"ул. Плеханова 857","Тихвин",4
1,3121972,"Василий Бруштейн",18.59,15,11,"Аллея Внуковская 2-я 1287","Нягань",1
1,2929095,"Адриана Климентова",19.95,5,1,"ул. Полоцкая 780","Бирюч",1
0,31043500,"Вадим Останин",142.03,14,9,"Аллея Продольная 544","Бирюч",9
0,14706968,"Ефрем Буняченко",137.72,21,13,"ул. Бумажная 26","Бирюч",8
1,6878181,"Кир Уткин",49.31,1,1,"Аллея Дальняя 4","Черноголовка",3
1,477685,"Варсонофий Витушев",10.0,6,1,"ул. Черемушкинская 1127","Черноголовка",1
0,1670566,"Виолетта Заборова",30.45,1,1,"ул. Гаврикова 610","Черноголовка",3
0,1641488,"Урсула Евстифеева",30.28,14,4,"ул. Каретный Б. 620","Озёры",2
0,295570,"Глеб Болучевский",13.9,22,15,"ул. Строгинское 1397","Озёры",1
0,2310827,"Глафира Акинфова",16.13,25,15,"Аллея Гончарная 892","Чегем",1
1,1809400,"Галактион Фирсов",12.7,18,1,"Аллея Митьковская 463","Нягань",1
1,592047,"Пантелеймон Перхурьев",12.74,5,1,"Аллея Сухонская 467","Озёры",1
1,3224831,"Анжела Протасьева",59.58,17,16,"ул. Садовая-Черногрязская 1237","Нягань",6
0,1567352,"Софья Денисьева",15.3,15,2,"ул. Вернадского 269","Озёры",1
1,9689512,"Лола Пригова",53.42,4,3,"ул. Коминтерна 86","Бирюч",4
1,943065,"Венедикт Спиридоньев",12.9,21,3,"Аллея Крылатские Холмы 1120","Нягань",1
0,17188083,"Иветта Прудникова",107.73,12,6,"ул. Ляпунова 54","Чегем",6
0,11385392,"Евгений Плавильщиков",76.22,5,4,"ул. Шушенская 844","Черноголовка",4
0,2581117,"Мехри Аксёнова",32.6,24,8,"ул. Сормовская 178","Нягань",2
0,707390,"Влада Личутина",14.39,10,8,"ул. Мясницкая 1181","Озёры",1
1,9995881,"Пантелеймон Кругосветов",96.14,18,5,"Аллея Артековская 328","Озёры",5
