"rooms","floor","owner","price","floors","square","city","address","new"
1,15,"Борис Парамонов",832126,22,14.67,"Северо-Курильск","Аллея Березовая 781",1
1,3,"Мария Осипова",1663436,25,15.94,"Собинка","Аллея Садовая-Спасская 477",0
4,11,"Константин Хохлов",6365177,17,55.03,"Скопин","ул. Заповедная 458",0
4,15,"Аврора Корнилова",11097184,19,57.79,"Канаш","ул. Волжский Бульвар 113 А 217",0
2,1,"Пров Шилов",3802567,22,26.6,"Скопин","Аллея Ирины Левченко 942",0
3,8,"Юлиан Зябликов",6528527,10,41.31,"Скопин","ул. Новотушинская 1048",0
1,3,"Клара Зудина",3150092,23,17.83,"Собинка","Аллея Сурская 1153",1
2,9,"Евгений Абросимов",4777240,12,31.38,"Скопин","Аллея Сущевский Вал 565",0
1,15,"Лев Кувалдин",290617,18,11.64,"Муравленко","ул. Извилистая 765",1
1,8,"Ясмина Бояшова",681317,10,16.47,"Северо-Курильск","ул. Октябрьская ж.д. Московское 646 км 383",0
3,4,"Глеб Шашков",4619506,8,43.82,"Вилюйск","Аллея Дуговая 1298",0
2,5,"Евгения Варшавская",2610956,10,33.28,"Канаш","Аллея Крупской 307",0
1,12,"Ермолай Афанасьев",509144,22,10.14,"Северо-Курильск","ул. Чоботовская 3-я 212",0
6,15,"Венедикт Жвалов",8788996,22,60.36,"Муравленко","ул. Гагарина 466",0
1,8,"Александр Подгородецкий",1939645,20,20.58,"Димитровград","ул. Прогонная 2-я 1084",1
6,2,"Авксентий Савин",12132673,4,89.25,"Димитровград","ул. Крюковская 923",0
4,1,"Самуил Арефьев",12682608,2,76.31,"Вилюйск","ул. Воронцово Поле 521",1
1,11,"Айсун Бородина",1510600,21,19.3,"Вилюйск","ул. Олсуфьевская 704",1
6,1,"Архипп Белоножко",5749786,2,56.73,"Муравленко","ул. Таганрогская 552",0
1,1,"Варвара Данькова",2287914,16,17.44,"Димитровград","ул. Девятинский Б. 1047",0
1,2,"Ефим Иженяков",2405120,5,14.84,"Северо-Курильск","ул. Гражданская 1-я 556",0
1,1,"Вита Богословская",1019298,10,18.56,"Вилюйск","ул. Литовская 487",0
2,3,"Лиора Азольская",2634650,5,26.88,"Вилюйск","Аллея Матвеевская 975",1
1,1,"Аксинья Жбанова",3077411,2,20.05,"Дмитриев-Льговский","Аллея Наримановская 364",1
1,1,"Никита Мозговой",1471896,1,18.46,"Скопин","Аллея Яхромская 217",0
1,7,"Митрофан Фёдоров",1664146,13,16.68,"Димитровград","ул. Летная 1303",1
2,11,"Добрыня Плавильщиков",2919185,12,21.6,"Вилюйск","Аллея Северная 9-я 170",0
1,5,"Айгуль Фенева",2621904,6,18.17,"Канаш","ул. Советской Армии 138",1
4,20,"Леонтий Котов",12403683,21,68.58,"Вилюйск","ул. Синельниковская 385",0
1,8,"Марк Мурманюк",648076,13,16.22,"Канаш","ул. Татарский Б. 306",1
6,8,"Дильназ Лазарева",7919143,21,84.04,"Скопин","Аллея Дальная 1350",1
2,1,"Цецилия Ельчина",2859283,1,33.23,"Димитровград","ул. Красного Маяка 424",0
4,18,"Трофим Евстигнеев",8040632,24,47.79,"Муравленко","ул. Гражданская 4-я 1054",1
6,16,"Сергей Бунин",20338689,20,96.19,"Муравленко","Аллея Железногорская 2-я 1233",1
5,6,"Айнур Ипполитова",10386531,10,83.5,"Муравленко","Аллея Паустовского 973",0
1,1,"Ивета Прокопова",2371663,1,16.29,"Дмитриев-Льговский","ул. Маршала Бирюзова 1328",0
1,2,"Святополк Углев",2221125,3,17.41,"Скопин","ул. Бойня 215",0
1,11,"Эсмира Пророкова",298441,20,10.0,"Северо-Курильск","Аллея Левшинский Б. 988",0
3,12,"Пахомий Микушевич",9288985,18,47.99,"Юрюзань","Аллея Прибрежная 270",0
4,11,"Корнилий Савёлов",4289772,16,53.93,"Скопин","ул. Осенняя 1310",0
1,1,"Фаддей Агутин",345431,21,10.0,"Вилюйск","Аллея Игарская 1257",0
1,4,"Святослав Топчиев",1511447,5,14.54,"Скопин","ул. Поварская 715",0
1,15,"Агапия Приставкина",1500313,19,13.32,"Собинка","Аллея Иверская 13",0
1,7,"Ирина Приставкина",3674394,11,19.4,"Северо-Курильск","Аллея Автозаводская 534",0
1,3,"Даяна Удодова",1262661,4,16.39,"Скопин","Аллея Цезаря Куникова 105",0
5,4,"Самира Ракова",8883446,25,90.54,"Димитровград","Аллея Старогавриковская 1313",0
1,15,"Иоанна Павлинова",1344964,20,15.46,"Канаш","Аллея Юннатов 1263",0
1,1,"Ирма Нарицина",675695,5,16.44,"Скопин","ул. Пржевальского 1348",0
1,11,"Генриетта Шолохова",3438145,17,21.65,"Дмитриев-Льговский","ул. Петровская 1155",0
1,3,"Архипп Киркиж",285346,16,10.0,"Дмитриев-Льговский","Аллея Кустанайская 11",0
2,16,"Аксинья Вишневская",1476806,20,24.89,"Северо-Курильск","ул. Горчакова 378",0
1,1,"Даниил Гаврилин",2800723,3,16.71,"Канаш","ул. Ленина 347",0
3,6,"Степан Фадеев",2421903,22,38.41,"Канаш","ул. Тульская М. 76",0
1,2,"Рузалия Вотрина",1744106,5,13.87,"Скопин","Аллея Рогожский Б. 415",0
11,1,"Дара Зикунова",32787582,2,153.1,"Юрюзань","ул. Зацепа 671",0
2,3,"Донат Юзефович",6699248,4,36.39,"Вилюйск","ул. Ермакова Роща 549",0
2,4,"Агафон Чистов",4172771,5,31.94,"Муравленко","ул. Сивашская 499",0
5,1,"Сафура Скапидарова",3746491,13,54.33,"Муравленко","Аллея Академика Волгина 1393",0
1,10,"Иннокентий Поплавский",789038,14,10.0,"Юрюзань","ул. Самаринская 1274",0
4,1,"Прохор Парфёнов",10124361,10,79.17,"Северо-Курильск","Аллея Пинская 789",0
2,7,"Мира Соловьева",2049447,14,33.54,"Димитровград","ул. Генерала Тюленева 392",0
1,15,"Дара Есенина",423686,21,10.44,"Димитровград","ул. Приречная 531",0
2,4,"Геласий Беспалько",7577218,14,36.53,"Муравленко","Аллея Железногорская 3-я 440",1
1,1,"Майя Скатова",748068,24,11.96,"Димитровград","ул. Алексея Дикого 449",1
1,4,"Авдей Щекочихин",1476885,6,12.17,"Северо-Курильск","ул. Госпитальный Вал 1275",0
3,10,"Юнона Арсеньева",7768949,15,41.59,"Канаш","Аллея Ямского Поля 1-я 813",0
2,9,"Митрофан Симеонов",5388471,11,34.82,"Юрюзань","Аллея Новые Сады 3-я 655",0
1,15,"Кир Соболь",1233054,18,13.24,"Вилюйск","ул. Палашевский Б. 157",0
1,3,"Арианда Игнатьева",2217049,7,16.5,"Скопин","ул. Коровинская 99",0
1,1,"Фаддей Заостровцев",1552459,3,13.88,"Вилюйск","ул. Подмосковная 549",1
1,6,"Лев Щербаков",371508,20,12.76,"Вилюйск","Аллея Столетова 492",0
1,4,"Мелентий Князев",2811785,5,16.32,"Димитровград","ул. Новопесковский М. 981",0
4,1,"Серафим Бавильский",11110030,4,54.17,"Вилюйск","ул. Старослободская 1052",1
4,12,"Мадлен Князева",5639063,18,38.45,"Дмитриев-Льговский","Аллея Тургеневская 1184",0
6,10,"Эльмира Скапидарова",20584133,11,94.85,"Дмитриев-Льговский","Аллея Сухаревская М. 1326",0
5,6,"Юлиан Ивлев",12935343,9,81.93,"Юрюзань","Аллея Академика Бакулева 424",1
2,3,"Феоктист Меркулов",740342,5,22.44,"Димитровград","Аллея Мариупольская 924",0
1,3,"Прохор Пашковский",300646,19,11.43,"Канаш","Аллея Лазенки 4-я 845",0
3,8,"Любава Попова",4697366,16,47.98,"Муравленко","ул. Красногвардейская 1158",1
1,3,"Анатолий Самылин",1886789,17,18.47,"Вилюйск","Аллея Егорьевская 266",0
4,18,"Лев Моисеев",5345463,24,51.81,"Северо-Курильск","Аллея Завода Серп и Молот 1099",0
4,2,"Сания Фролова",5207975,25,58.59,"Канаш","ул. Армянская 738",0
1,4,"Владислава Данилкина",1009197,6,13.65,"Канаш","Аллея Кунцевская 1122",0
4,5,"Флориана Комарова",11061076,13,71.35,"Вилюйск","ул. Усиевича 2-я 471",1
6,1,"Тарас Козлачков",2641969,9,61.98,"Муравленко","Аллея Талалихина 839",1
3,5,"Шерил Каминская",5053507,13,53.75,"Скопин","ул. Курганская 339",0
1,2,"Митрофан Слепнёв",1011584,3,15.03,"Муравленко","Аллея Боженинский М. 99",1
1,2,"Юлиан Гаммер",1195609,6,13.67,"Дмитриев-Льговский","ул. Сретенка 1284",0
2,4,"Ждан Гуляев",3173063,5,30.28,"Вилюйск","ул. Камергерская 143",0
3,9,"Леонид Пелевин",7473648,21,39.01,"Юрюзань","ул. Набережная Б. 849",0
10,1,"Мина Маринин",21299357,5,140.36,"Муравленко","ул. Бауманская 254",0
1,17,"Энже Гершанова",1450643,21,16.19,"Юрюзань","Аллея Украинская 1021",0
2,8,"Астрид Пигасова",1654840,9,25.11,"Дмитриев-Льговский","Аллея Криворожская 116",0
1,1,"Григорий Берёзин",3952293,11,20.31,"Канаш","ул. Писцовая 37",0
4,3,"Замира Филипова",11287505,5,77.64,"Скопин","Аллея Клинская 1290",1
1,19,"Раиля Битова",338377,25,10.23,"Канаш","Аллея Островной 499",0
1,9,"Севастьян Никандров",1396309,13,13.95,"Муравленко","ул. Черницынская 579",1
5,2,"Юна Сазонова",6617336,13,56.0,"Димитровград","ул. Трофимова 215",0
1,13,"Ждан Богоявленский",3162298,18,18.05,"Димитровград","ул. Сокольнический Вал 1003",0
1,9,"Парфений Паушкин",627861,17,11.32,"Скопин","ул. Мароновская 446",1
5,15,"Роксана Тёмкина",9838851,19,95.81,"Канаш","ул. Трифоновская 162",0
1,9,"Авксентий Рыльников",1221421,18,17.67,"Канаш","ул. Санаторная 1020",1
3,15,"Игнатий Исаев",3326941,20,48.01,"Канаш","ул. Трехгорный Б. 1349",0
2,1,"Мартын Мифтахутдинов",2670688,20,25.67,"Вилюйск","Аллея Октябрьская 152",0
1,3,"Тимофей Коваленко",2244759,7,20.09,"Канаш","ул. Головин Б. 172",1
1,4,"Гавриил Блок",371841,7,10.0,"Северо-Курильск","ул. Сенежская 146",0
1,4,"Михримах Николина",1602704,5,19.02,"Вилюйск","Аллея Шушенская 254",0
1,2,"Даяна Ельчина",1457214,3,21.65,"Северо-Курильск","ул. Староспасская 890",0
1,13,"Виола Каневская",473541,19,13.51,"Северо-Курильск","ул. Старобитцевская 460",0
3,1,"Артемий Хлумов",7800395,1,41.25,"Скопин","Аллея Оршанская 1178",1
2,3,"Елизавета Рачкова",2403513,5,26.82,"Собинка","Аллея Октябрьская ж.д. Московское 646 км 1104",1
4,14,"Никанор Колобов",8337887,22,48.36,"Собинка","Аллея Ряжская 213",0
5,1,"Федосей Немиров",9874562,14,78.63,"Скопин","ул. Электрозаводская 1260",0
