"new","floor","owner","city","square","floors","price","rooms","address"
0,1,"Ванесса Естамонова","Новодвинск",10.0,1,357967,1,"ул. Окружная 80"
0,17,"Роман Чудаков","Юхнов",48.02,18,3841535,4,"Аллея Филевская Б. 1314"
0,8,"Валентина Куркова","Лысково",76.1,23,6710784,4,"ул. Сыромятническая Ниж. 549"
1,1,"Ираклий Некрасов","Новодвинск",15.63,1,2136678,1,"ул. Костянская 784"
0,22,"Мадина Караулова","Юхнов",39.7,25,7151577,2,"Аллея Джавахарлала Неру 1234"
0,4,"Вавила Баранов","Лысково",29.19,6,3748711,2,"ул. Барвихинская 640"
0,1,"Прокопий Ажаев","Новый Оскол",13.67,9,1104055,1,"Аллея Киевская 863"
0,7,"Лола Буровская","Новодвинск",55.53,10,6067303,5,"Аллея Буракова 279"
0,4,"Айлин Каминская","Кулебаки",10.2,16,524299,1,"Аллея Степана Шутова 1079"
1,11,"Галактион Караулов","Юхнов",31.29,20,5587719,2,"Аллея Хвойная 33"
0,3,"Венедикт Денисов","Юхнов",11.56,15,720971,1,"Аллея Полевая 816"
1,8,"Серафим Сахарнов","Морозовск",16.86,15,2071495,1,"Аллея Кузнецкий Мост 111"
1,13,"Аглая Ерошкина","Морозовск",54.17,17,4347043,4,"Аллея Карманицкая 1245"
0,7,"Карина Феофанова","Юхнов",47.71,24,3813973,4,"Аллея Каштановая 187"
0,11,"Физалия Крутихина","Чусовой",12.12,13,873217,1,"Аллея Иловайская 900"
1,8,"Илюза Тендрякова","Новодвинск",25.16,21,3934203,2,"Аллея Останкинская 1-я 1333"
1,13,"Луна Меркурова","Новодвинск",81.13,15,7402681,5,"Аллея Новопотаповская 937"
1,1,"Германн Степной","Юхнов",38.32,1,6868617,3,"ул. Моревская 1197"
0,10,"Лариса Писарева","Бакал",11.03,20,297344,1,"ул. Новобутовская 1398"
0,6,"Онисим Королюк","Лысково",57.59,14,5860619,4,"Аллея Фирсановское 111"
0,13,"Эдуард Ильин","Лысково",11.12,21,999916,1,"ул. Славянская 228"
0,4,"Алёна Филаретова","Лысково",55.78,15,6049920,3,"ул. Пименовская 1209"
0,7,"Малика Владимирова","Юхнов",41.66,11,7260813,4,"ул. Аэропорта 1009"
0,3,"Тая Остапова","Новодвинск",40.97,13,4672157,2,"Аллея Станционная 478"
0,1,"Мика Маяковская","Лысково",17.55,4,696809,2,"Аллея Зеленодольская 1298"
1,5,"Евдоким Воддеников","Лысково",21.09,25,2042559,1,"Аллея Толмачевский Б. 604"
0,4,"Пахомий Буйда","Кулебаки",10.28,11,268217,1,"Аллея Пироговская Б. 861"
1,1,"Авксентий Удодов","Лысково",37.87,5,3638194,4,"Аллея Радиальная 2-я 124"
1,19,"Анжелика Фурцева","Чусовой",15.11,25,1882450,1,"Аллея Шишкина 141"
1,13,"Эстер Доронина","Новый Оскол",42.12,25,6823168,4,"Аллея Ильинские Ворота 350"
0,16,"Ефрем Дежнев","Лысково",82.11,24,12505845,5,"Аллея Съезжинская 1309"
0,8,"Алексей Коклюшкин","Юхнов",13.25,22,1615184,1,"ул. Тульская М. 154"
0,1,"Раиса Литвинова","Юхнов",13.38,3,296982,1,"ул. Вельяминовская 1167"
0,16,"Эстер Девяткина","Чусовой",84.76,19,14519932,5,"ул. Тучковская 1257"
1,3,"Тихон Машкин","Юхнов",32.49,20,3073844,2,"ул. Новочеркасская 432"
0,20,"Резеда Зорина","Морозовск",71.94,24,7384535,6,"ул. Петровка 1250"
1,8,"Зара Яськова","Новый Оскол",32.66,13,3416803,3,"Аллея Ленинская 181"
1,11,"Генриетта Полевая","Лысково",22.57,22,2935086,1,"ул. Новоселенская 964"
1,15,"Пахомий Верников","Морозовск",40.88,20,7758138,3,"Аллея Радиальная 3-я 906"
1,2,"Жоржина Анненкова","Бакал",30.76,13,1948755,2,"Аллея Лазенки 1-я 929"
0,2,"Фаина Идова","Бакал",35.2,15,4683794,3,"Аллея Новая Дорога 16"
