"rooms","address","floors","square","city","new","owner","floor","price"
1,"ул. Шепелюгинская 700",4,14.35,"Киренск",1,"Ирина Акинфова",2,277405
4,"ул. Машкова 285",14,55.11,"Ярцево",1,"Милослава Пашковская",9,5548091
3,"Аллея Знаменский М. 954",12,55.43,"Ярцево",0,"Бэлла Селиверстова",4,4846678
6,"ул. Волоцкой 173",25,71.58,"Кумертау",1,"Антон Тованичев",5,7459771
2,"Аллея Тюменская 1242",15,19.49,"Дорогобуж",1,"Платонида Бузина",3,1647602
1,"Аллея Наставнический Ср. 833",11,17.61,"Таштагол",1,"Гульмира Ардалионова",10,745063
3,"ул. Мичурина 939",20,32.19,"Ярцево",1,"Иулиан Маршак",16,5489201
2,"Аллея Складочная 320",24,22.33,"Киренск",0,"Зара Азарьина",8,3694786
7,"Аллея Боевская 2-я 1113",24,117.6,"Бикин",1,"Нана Ионина",6,12285206
4,"Аллея Саянская 1204",6,48.06,"Чебоксары",0,"Антонин Емельянов",2,7774595
2,"ул. Каменка 296",17,31.96,"Плёс",1,"Добрыня Артемьев",9,2062068
1,"ул. Садовая Слобода 566",24,18.94,"Киренск",1,"Павел Скоренко",16,3250937
1,"Аллея Шмитовская 686",9,15.11,"Ярцево",0,"Аделина Аренская",4,1575182
2,"Аллея Купавенский Б. 465",23,32.11,"Шумиха",0,"Симона Парфеньева",13,3810317
1,"ул. Полянка М. 995",13,12.29,"Кумертау",1,"Агафон Прокопьев",9,250608
4,"Аллея Медведева 1345",1,39.1,"Кумертау",0,"Викторина Дьяконова",1,1486281
3,"Аллея Нарышкинская 887",19,33.9,"Бикин",1,"Галия Турова",16,4536907
4,"Аллея Связистов 410",2,67.18,"Плёс",0,"Алевтина Пудеева",1,10430306
8,"ул. Ленинские Горы 646",20,120.53,"Кумертау",0,"Соня Леонидова",2,25270444
5,"Аллея Ордынский Б. 880",2,88.15,"Кумертау",0,"Белла Нарбикова",1,19084930
1,"Аллея Серпуховская 869",18,14.17,"Бикин",0,"Альвиан Ермилов",6,1826020
3,"ул. Красноармейская 1192",1,56.76,"Плёс",0,"Валентин Филипов",1,5070453
1,"Аллея Оршанская 402",21,16.12,"Чебоксары",0,"Рада Любимова",19,1701268
1,"Аллея Владимирская 2-я 841",1,18.02,"Кумертау",0,"Рианна Ремизова",1,2228633
1,"Аллея Вагоноремонтная 857",12,18.01,"Бикин",1,"Магдалена Бондарева",1,1953896
3,"Аллея Южнопортовый 2-й 238",8,35.18,"Кумертау",0,"Белла Балдина",4,5419173
6,"Аллея Пушкарев 308",1,115.53,"Кумертау",1,"Агунда Соловьева",1,12750727
2,"ул. Жигулевская 193",17,33.85,"Ярцево",1,"Лика Новосёлова",5,4087759
4,"ул. Пироговская Б. 852",19,73.42,"Киренск",0,"Дильнара Авксентьева",14,7731730
2,"Аллея Заболотье 698",7,35.09,"Кумертау",0,"Ильзира Куликова",3,3255835
1,"Аллея Лялин 336",19,11.87,"Ярцево",0,"Азиза Алябьева",6,382627
4,"Аллея Кубинка 308",17,52.92,"Киренск",0,"Тэмми Карасева",3,8857932
1,"ул. Новотихвинская 1127",5,15.5,"Киренск",0,"Серафим Вакуленко",4,2067195
1,"Аллея Петра Алексеева 987",20,20.82,"Таштагол",1,"Тимур Архипов",10,3065360
5,"Аллея Керченская 821",12,94.51,"Бикин",0,"Святослав Юдов",7,8293575
4,"Аллея Заставная 1109",6,48.8,"Шумиха",0,"Филат Гурьев",1,6523623
2,"ул. Татарский Б. 299",14,22.9,"Ярцево",1,"Тамара Богомякова",9,2840264
1,"ул. Ленивка 500",9,19.5,"Кумертау",0,"Василий Николаевич",7,1411586
3,"ул. Брюсов 570",8,53.67,"Шумиха",1,"Александр Алипов",6,5828665
3,"Аллея Маршала Федоренко 816",5,55.43,"Бикин",0,"Варлам Болучевский",3,11854504
1,"Аллея Хользунова 196",20,11.27,"Таштагол",0,"Борис Владимирский",7,576895
2,"ул. Радиаторская 3-я 1356",10,16.61,"Бикин",1,"Марк Свечин",5,1616611
4,"Аллея Синявинская 1160",19,39.86,"Плёс",0,"Виталина Булганина",18,5923695
7,"ул. Симферопольская 977",2,86.7,"Ярцево",0,"Антон Морковин",1,17445104
1,"Аллея Отрадная 1280",25,19.77,"Бикин",0,"Иван Вирхов",21,1661719
2,"ул. Брянская 548",6,29.7,"Кумертау",0,"Тиффани Колядина",5,2503984
2,"ул. Радарная 1210",7,25.42,"Плёс",1,"Анита Пастухова",2,1506445
3,"ул. Бутово 799",16,54.57,"Бикин",1,"Соня Егорова",12,10383937
3,"Аллея Миргородская 1399",18,53.96,"Ярцево",0,"Мирон Тарн",8,8435328
1,"Аллея Пречистенские Ворота 983",9,10.62,"Шумиха",1,"Рита Меркушева",1,447936
1,"Аллея Новые Сады 3-я 1032",25,19.66,"Киренск",1,"Есения Брюсова",14,1740411
9,"Аллея Рубцовско-Дворцовая 874",5,159.74,"Чебоксары",1,"Адиля Люкина",1,25276244
3,"Аллея Комиссариатская 1240",3,50.96,"Ярцево",0,"Святослав Дежнев",2,4412898
1,"Аллея Чечулина 1063",8,15.23,"Киренск",1,"Зоряна Скуратова",3,2206962
3,"Аллея Барышиха 307",5,46.28,"Киренск",1,"Порфирий Екимов",4,9788955
1,"ул. Летная 332",7,16.34,"Кумертау",0,"Ира Маслова",5,1250170
4,"ул. Болотниковская 1055",4,39.8,"Киренск",0,"Агата Вавилина",1,1172508
1,"ул. Скорняжная 302",1,12.2,"Чебоксары",0,"Мартын Каминов",1,747807
1,"ул. Грина 357",9,10.08,"Таштагол",1,"Руслан Акимов",1,792135
2,"ул. Ставропольская 1284",16,22.13,"Шумиха",1,"Германн Ипатьев",11,2912102
1,"Аллея Николоворобинский М. 14",18,17.69,"Ярцево",0,"Гавриил Пантелеев",17,2838117
6,"ул. Васильцовский Стан 706",20,70.19,"Ярцево",1,"Нана Козырева",6,4010475
2,"ул. Лыковская 3-я 942",22,24.41,"Кумертау",0,"Василий Бровцев",18,4192225
5,"ул. Радиальная 2-я 538",4,70.39,"Чебоксары",0,"Бэлла Стогова",2,9187517
2,"ул. Рюмин 165",1,30.13,"Кумертау",0,"Александра Свитнева",1,4775610
7,"ул. Сыромятническая Ниж. 725",15,71.51,"Киренск",0,"Мстислав Манылов",2,7390616
7,"Аллея Фалеевская 219",4,126.17,"Плёс",0,"Хюррем Нечаева",1,11075367
5,"ул. Филипповская 1049",10,88.81,"Ярцево",1,"Антон Гришин",4,20497959
5,"ул. Хлыновская 726",19,64.34,"Плёс",1,"Гульшат Корнильева",2,5317156
1,"Аллея Бакинская 974",6,17.84,"Киренск",1,"Емельян Фурманов",3,743405
3,"Аллея Огородная Слобода 114",3,45.48,"Кумертау",0,"Геннадий Яворский",1,7128229
1,"ул. Преображенская 1242",12,10.0,"Бикин",1,"Зарема Нефедьева",8,466427
3,"Аллея Остафьевская 205",8,45.05,"Кумертау",1,"Варлам Лукьянов",4,7152016
1,"Аллея Введенского 1161",9,11.19,"Кумертау",1,"Добрыня Ильницкий",1,337992
4,"ул. Покровка 734",19,51.81,"Киренск",0,"Вячеслав Ветров",12,8618518
5,"Аллея Кутузово 79",11,95.04,"Ярцево",1,"Дженна Чуковская",2,21027114
3,"ул. Радиальная 9-я 90",14,39.1,"Плёс",0,"Серафим Бугрименко",3,4119014
2,"Аллея Хорошевская 1170",10,24.65,"Киренск",1,"Лета Пармёнова",4,3969984
3,"Аллея Маршала Рокоссовского 643",9,55.32,"Таштагол",0,"Лейла Смоленская",3,9845406
6,"ул. Неглинная 947",2,64.84,"Ярцево",1,"Иван Антоньев",1,5087658
1,"Аллея Васнецова 897",7,15.81,"Кумертау",1,"Исидор Шевкун",4,1261083
4,"ул. Тамбовская 45",13,40.94,"Бикин",0,"Афанасий Песков",9,3203605
3,"ул. Бакунинская 13",5,55.08,"Кумертау",1,"Фотий Зондберг",3,8381549
1,"ул. Синичкина 1-я 1152",24,10.0,"Киренск",1,"Самуил Сапронов",7,291416
