"price","rooms","city","owner","address","floor","new","floors","square"
906533,1,"Ноябрьск","Анаит Протасова","Аллея Фрунзенская 2-я 82",1,0,1,14.66
2797572,3,"Кемь","Жоржина Щербакова","Аллея Солнцевская 739",13,0,24,32.01
9223506,6,"Кемь","Цецилия Косая","ул. Белякова 670",6,0,24,66.99
3013302,1,"Шумиха","Кирилл Заволокин","Аллея Прямой 1240",1,0,13,17.01
14248377,4,"Светлоград","Фрол Рубин","ул. Русаковская 829",6,0,23,68.69
1273424,1,"Электрогорск","Варвара Евтихеева","ул. Правды 561",10,1,15,11.62
9447816,5,"Электрогорск","Мавлюда Сальникова","Аллея Дорогобужская 1079",9,0,24,61.52
1901731,1,"Шумиха","Илюза Галактионова","Аллея Измайловский Вал 49",2,0,23,13.83
281608,1,"Новотроицк","Назар Олейников","ул. Дворцовая Правая 379",11,0,18,10.0
8051916,7,"Электрогорск","Евгений Елеазаров","ул. Вишневая 87",3,0,4,99.26
1203977,1,"Шумиха","Ума Грина","ул. Хвалынская 435",6,0,11,19.44
10133040,9,"Электрогорск","Искра Черкашина","ул. Лобанова 640",1,0,2,134.0
1000684,1,"Фролово","Ириней Ремнёв","ул. Академика Варги 771",1,1,20,16.98
4474544,3,"Фролово","Селена Лагунова","Аллея Фотиевой 619",1,0,7,39.52
17467126,5,"Светлоград","Иллирика Рачкова","Аллея Шитова 284",1,0,4,88.96
2157245,3,"Шумиха","Павел Старков","ул. Очаковское 278",3,0,5,35.63
1585377,1,"Кемь","Василий Шутко","ул. Скобелевская 399",4,0,7,12.25
3403109,4,"Кемь","Ульяна Согрина","Аллея Энтузиастов 1167",5,0,6,40.77
1060626,1,"Кемь","Дамира Смольникова","Аллея Грекова 954",11,0,20,13.03
1829114,1,"Шумиха","Айнагуль Удальцова","ул. Хохловка Нижн. 84",5,0,7,14.03
267893,1,"Южноуральск","Екатерина Алешковская","Аллея Никулинская 1351",15,0,23,13.93
1168108,1,"Южноуральск","Трифон Лидский","Аллея Яузская 284",7,0,23,12.99
2160306,1,"Шумиха","Фрол Коржавин","Аллея Яуза Платформа 489",15,0,20,14.56
2773842,1,"Электрогорск","Тарас Жвалов","Аллея Гжельская 1181",1,0,1,15.94
5014495,3,"Кемь","Виталий Иринеев","ул. Родионовская 1167",12,0,14,56.42
