"new","price","floors","square","address","rooms","owner","city","floor"
1,1698239,16,13.59,"ул. Банковская 41",1,"Софрон Арефин","Тетюши",14
1,1951351,4,15.13,"Аллея Чоботовская 9-я 507",1,"Лукерья Чернева","Павловск",3
1,10456542,24,50.1,"ул. Княжнина 1396",3,"Григорий Аксенов","Павловск",19
1,433859,9,12.42,"ул. Митьковская 570",1,"Альберт Берестов","Куртамыш",2
1,2594491,12,15.78,"ул. Хрущевская 736",1,"Всеволод Пашковский","Куртамыш",5
1,6576079,23,37.14,"Аллея Старообрядческая 358",3,"Эраст Померанцев","Куртамыш",4
1,8509862,2,53.84,"Аллея Тетеринская 1140",3,"Ариана Олсуфьева","Павловск",1
1,2513557,24,18.15,"Аллея Академика Люльки 357",1,"Татьяна Лимонова","Чусовой",8
1,2154071,25,18.0,"Аллея Коммунарская 430",1,"Пейтон Бурова","Куртамыш",5
1,1934070,7,15.21,"Аллея Академика Семенова 316",1,"Родослав Беспаленко","Чусовой",1
1,1179036,24,12.21,"Аллея Западная 504",1,"Агния Жаринова","Куртамыш",13
1,952971,19,12.9,"Аллея Мещерская 556",1,"Аза Нетёсова","Чусовой",16
1,925145,13,15.19,"ул. Софийская 1380",1,"Алана Викторова","Куртамыш",10
0,2515061,23,19.71,"Аллея Якорная 1383",1,"Аглая Саломатова","Светлогорск",3
1,689897,13,13.61,"ул. Вилюйская 1083",1,"Флоренс Федотова","Куртамыш",3
1,4460791,18,29.99,"Аллея Гамалеи 1276",2,"Пров Долгопят","Чусовой",13
1,6288988,8,70.69,"ул. Ферсмана 511",4,"Акакий Грязев","Куртамыш",2
1,903864,24,19.66,"Аллея Каретный Ср. 603",2,"Корнилий Анюков","Павловск",14
1,7191754,10,37.78,"Аллея Щорса 1206",2,"Мехри Савельева","Тетюши",9
1,555624,25,15.55,"Аллея Глазовская 712",1,"Наиля Гуляева","Светлогорск",24
1,4047478,14,37.63,"ул. Ватутина 1170",2,"Диана Перфильева","Тетюши",13
1,2705264,13,36.12,"ул. Панфилова 591",2,"Эраст Алешковский","Павловск",5
1,3651379,15,19.28,"ул. Путинковский М. 1156",1,"Таяна Ульянова","Павловск",8
1,2515332,11,18.38,"ул. Молодогвардейская 828",1,"Айнур Аркадьева","Павловск",2
1,2875503,6,57.94,"Аллея Коллективная 1247",5,"Виолетта Меркурьева","Павловск",2
1,11118428,18,50.55,"ул. Хлыновская 950",3,"Варсонофий Марлинский","Павловск",12
1,5309545,4,58.35,"Аллея Осенняя 945",6,"Мелентий Ковальджи","Куртамыш",3
1,2000097,11,15.07,"ул. Ширяевская М. 239",1,"Илона Жданова","Павловск",5
1,34066334,8,182.04,"ул. Северянин 783",10,"Климент Харитонов","Тетюши",5
1,10349330,11,54.13,"Аллея Европы 937",4,"Владимир Тиханин","Куртамыш",6
1,1000297,10,14.49,"ул. Дегтярная 1011",1,"Лидия Дубаева","Светлогорск",4
1,15646270,7,146.27,"Аллея Ослябинская 1281",9,"Рамина Авакумова","Павловск",2
1,9144849,1,48.73,"ул. Сергея Эйзенштейна 460",3,"Земфира Дзержинская","Павловск",1
1,10340412,15,72.92,"ул. Богоявленская 239",4,"Павел Панов","Тетюши",10
1,3465646,22,25.37,"Аллея Молдагуловой 692",2,"Шакира Акинфиева","Павловск",5
1,1287263,12,14.73,"Аллея Сосинская 179",1,"Тиффани Дёмушкина","Куртамыш",6
1,14643441,2,75.39,"ул. Жидков 605",4,"Федот Лукьяненко","Тетюши",1
1,7362729,3,41.01,"ул. Бауманская 1203",3,"Зита Малахеева","Павловск",2
1,10770181,20,70.82,"ул. Измайловский Вал 646",5,"Ерофей Фурман","Чусовой",18
0,482266,17,10.0,"ул. Никулинская 373",1,"Иллирика Елеферьева","Павловск",13
1,848544,23,17.04,"Аллея Крутицкий Вал 1139",1,"Камила Верзилова","Павловск",17
1,9171056,8,48.12,"ул. Журавлев Нижн. 1186",4,"Айгерим Золотцева","Павловск",3
1,8114649,20,75.36,"ул. Клочкова 279",4,"Анабель Владимова","Куртамыш",12
1,9170618,19,71.0,"ул. Софьи Ковалевской 1038",6,"Варлам Пудеев","Павловск",4
1,389568,9,10.79,"Аллея Загородное 1231",1,"Клара Ракова","Куртамыш",2
1,4136499,11,43.68,"Аллея Пречистенские Ворота 1152",3,"Жасмин Булгакова","Павловск",2
1,1281902,3,17.17,"Аллея Прасковьина 596",1,"Лиана Минина","Тетюши",1
1,2099534,23,16.43,"ул. Богатырская 3-я 44",1,"Порфирий Олисов","Павловск",18
1,10211791,13,72.07,"Аллея Захарьинские Дворики 1221",4,"Инга Горбунова","Куртамыш",2
1,10725306,18,56.95,"Аллея Центральная 776",4,"Эдуард Собакин","Павловск",4
1,7757038,2,74.36,"ул. Чоботовская 4-я 855",4,"Никифор Ивонин","Павловск",1
1,3027820,11,26.53,"Аллея Дубнинская 945",2,"Разина Зябликова","Павловск",7
1,2791852,16,44.57,"ул. Прямой 1202",3,"Исидор Писарев","Чусовой",10
1,5640498,11,44.45,"Аллея Рыбинская 1-я 249",3,"Дильназ Сотникова","Павловск",1
1,959360,16,20.26,"Аллея Светлая 400",2,"Константин Северянин","Куртамыш",7
1,15012022,4,97.55,"ул. Прямикова 225",9,"Михаил Ежов","Куртамыш",1
1,940168,14,12.98,"ул. Проточная 675",1,"Игнатий Гутенёв","Тетюши",1
1,315606,16,13.11,"Аллея Академика Комарова 39",1,"Любава Витковская","Куртамыш",11
1,2908800,4,51.67,"Аллея Магаданская 254",4,"Яков Чиж","Светлогорск",1
1,2791324,11,34.17,"ул. Бумажная 1128",2,"Лилия Скатова","Куртамыш",2
1,12639035,17,92.92,"ул. Прядильная 1-я 619",5,"Домна Антипова","Куртамыш",1
1,520375,11,14.58,"Аллея Масловка Нижн. 974",1,"Лука Меркушев","Куртамыш",6
1,2132678,22,14.52,"Аллея Авиационная 249",1,"Гаяна Варламова","Куртамыш",7
1,7385244,5,51.69,"Аллея Сандуновская 108",3,"Артём Стругацкие","Чусовой",2
1,2476174,14,15.29,"ул. Центросоюзная 526",1,"Милана Пригова","Павловск",5
1,3123634,25,48.24,"ул. Лыткаринская 1024",4,"Эльмира Федина","Чусовой",1
1,831180,10,10.0,"ул. Парковая 12-я 863",1,"Ея Демидова","Тетюши",6
1,1487367,12,29.41,"Аллея Маломосковская 241",3,"Вета Ломоносова","Павловск",8
1,482525,15,10.0,"ул. Рождественка 337",1,"Юстин Ефремов","Тетюши",5
1,1351018,1,12.78,"Аллея Базовская 1200",1,"Владислав Потапьев","Тетюши",1
1,2134027,25,28.76,"ул. Всеволожская 223",2,"Милен Панкратова","Светлогорск",6
1,9468208,22,113.75,"ул. Генерала Белобородова 894",7,"Милана Замятина","Павловск",9
1,725917,6,16.35,"Аллея Молокова 260",1,"Айсель Солопова","Светлогорск",2
1,894620,17,10.57,"Аллея Симоновский Вал 1317",1,"Спиридон Нехорошев","Куртамыш",4
1,9151378,13,56.77,"ул. Чистова 536",3,"Пелагея Анцыферова","Павловск",10
1,7132409,20,36.14,"ул. Бегичева 917",2,"Айсылу Гришина","Павловск",15
1,13027042,16,109.7,"ул. Каспийская 1153",6,"Римма Плавильщикова","Павловск",9
1,4421533,3,30.88,"ул. Парковая 12-я 441",2,"Альберт Лойко","Куртамыш",2
1,9896225,21,60.32,"ул. Пугачевская 1-я 1265",6,"Герасим Нестеров","Чусовой",12
