"rooms","new","owner","address","floor","square","floors","price","city"
3,1,"Фотий Беседин","Аллея Заповедная 441",7,30.71,25,1404030,"Чайковский"
1,1,"Ева Москвина","ул. Марьинский Парк 259",2,10.19,3,978009,"Кохма"
1,0,"Капитон Абрикосов","Аллея Вересковая 894",11,11.18,19,284949,"Чайковский"
1,1,"Созон Мурмановский","ул. Терлецкая 337",12,16.9,14,551633,"Кохма"
1,0,"Надежда Евдокимова","ул. Грайвороново 90а 528",6,19.55,21,2658255,"Кохма"
1,1,"Шакира Мухина","Аллея Елизаветинская 685",10,11.02,12,335812,"Чайковский"
1,1,"Гаянэ Медкова","Аллея Николопесковский Б. 25",4,16.15,7,645284,"Оха"
1,1,"Евангелина Жаринова","ул. Варварские Ворота 453",10,14.54,21,649894,"Чайковский"
1,1,"Фрида Русакова","ул. Бронная Б. 152",9,19.62,23,1611269,"Чайковский"
1,0,"Ариана Ильенкова","ул. Подушкино 262",16,17.02,23,2477942,"Перевоз"
1,1,"Родион Сысоев","ул. Знаменский М. 280",2,14.08,11,252655,"Чайковский"
2,0,"Беатрис Валентинова","Аллея Староконюшенная 190",4,21.28,21,2267160,"Холмск"
3,0,"Евсей Замятин","ул. Захарьинская 1215",22,47.71,25,5695579,"Холмск"
1,1,"Надежда Жвалова","ул. Звенигородская 2-я 4",18,14.9,23,2112370,"Чайковский"
2,0,"Ефрем Колядин","ул. Ащеулов 767",2,34.38,19,2485286,"Холмск"
3,1,"Евграф Трефилов","ул. Усиевича 2-я 767",13,33.09,14,5577147,"Холмск"
3,1,"Николь Поликарпова","Аллея Генерала Рычагова 124",9,36.6,21,5310078,"Кохма"
2,0,"Григорий Евгенов","ул. Пионерская М. 1131",10,33.54,22,2738371,"Холмск"
1,1,"Павел Ширяев","ул. Парусная 138",17,17.49,18,635691,"Оха"
5,0,"Инна Жуковская","ул. Производственная 939",1,59.23,3,7460872,"Перевоз"
1,1,"Мстислав Курилов","Аллея Щипок 1026",13,12.38,19,620193,"Кохма"
1,1,"Беатрис Владимирова","Аллея Приречная 768",11,19.01,22,2223062,"Холмск"
1,0,"Лера Аристархова","ул. Ржевский Б. 920",1,18.3,15,2223037,"Чайковский"
1,1,"Александр Евтифеев","ул. Петровка 501",7,18.77,23,3080082,"Чайковский"
2,1,"Анисья Максимова","Аллея Панфилова 611",2,35.9,4,4183186,"Холмск"
7,1,"Богдан Жбанов","ул. Северная 1-я 268",1,104.04,2,11727203,"Холмск"
3,0,"Лукий Данильчук","ул. Житомирская 461",17,32.52,23,5159440,"Кохма"
1,1,"Мира Скапидарова","Аллея Циолковского 1166",13,10.21,15,727212,"Чайковский"
1,1,"Максим Коваленко","Аллея Подвойского 868",5,10.0,17,954874,"Чайковский"
1,1,"Тит Путин","ул. Черногрязская 2-я 428",3,12.4,6,295671,"Чайковский"
1,0,"Вячеслав Васечкин","Аллея Бойцовая 1149",6,14.75,15,2119551,"Холмск"
1,1,"Валерия Замятина","Аллея Сергия Радонежского 47",1,10.3,2,320281,"Холмск"
1,1,"Алеста Мурманина","ул. Казарменная 1259",1,20.27,6,2829438,"Чайковский"
3,0,"Циара Аннинская","ул. Власьевский Б. 1122",9,43.72,18,6945798,"Чайковский"
10,1,"Ай Гершанова","ул. Фадеева 1065",2,159.85,3,26876213,"Чайковский"
2,1,"Лев Карамзин","Аллея Верхоянская 989",1,29.4,1,4665808,"Кохма"
5,0,"Тарас Марков","Аллея Политехническая 233",1,90.33,24,14079812,"Кохма"
7,0,"Лора Пафнутьева","ул. Александровка 958",5,98.97,7,20637316,"Кохма"
1,0,"Гульзира Знаменская","ул. Петровско-Разумовский Стар. 702",11,10.52,14,733574,"Холмск"
3,0,"Камилла Пушкина","Аллея Валдайская 1178",18,46.01,20,8412935,"Перевоз"
1,0,"Василий Слепухин","Аллея Халтуринская 1281",1,15.82,1,1220653,"Чайковский"
