"owner","square","city","rooms","address","new","floor","floors","price"
"Владлен Алипьев",75.57,"Серов",7,"ул. Синявинская 711",0,14,17,5072490
"Иллирика Ершова",18.14,"Данков",2,"Аллея Рудневка 1051",0,3,12,362878
"Лина Полуехтова",14.94,"Данков",1,"Аллея Комдива Орлова 64",0,3,8,2049780
"Виталия Ремезова",39.69,"Братск",4,"ул. Тверская-Ямская 1-я 1034",0,11,25,4730525
"Ада Хрисогонова",20.83,"Братск",2,"ул. Новые Сады 5-я 245",1,7,11,2292763
"Далида Комиссарова",18.26,"Уфа",1,"Аллея Зацепа 9",0,1,11,2873633
"Наргиза Мозжухина",104.23,"Серов",7,"Аллея Пестовская 443",1,4,18,19457338
"Логгин Африкантов",54.7,"Железногорск",4,"Аллея Открытое 174",0,2,12,9480187
"Герасим Вайсбеккер",65.35,"Данков",6,"ул. Марьинская Б. 804",1,1,22,11766154
"Фока Богомяков",12.99,"Данков",1,"Аллея Поперечная 562",1,15,16,341589
"Якун Соснора",72.96,"Серов",6,"ул. Академика Скрябина 756",1,9,13,5069316
"Магистриан Жвалевский",75.4,"Братск",5,"ул. Тверская Застава 1276",0,7,9,11675439
"Виола Котовская",79.71,"Зверево",5,"ул. Продольная 1358",1,5,8,16703160
"Даниил Князев",17.99,"Данков",1,"Аллея Лукино 2-я 930",0,1,20,1191864
"Ия Останина",10.12,"Братск",1,"ул. Ширяевская Б. 277",0,18,21,336883
"Лилит Горлова",24.4,"Данков",2,"ул. Причальная 197",0,6,20,2018967
"Изабелла Бунина",25.21,"Железногорск",2,"ул. Староватутинская 1091",0,1,15,3156028
"Мстислав Басинский",31.94,"Данков",3,"Аллея Юных Ленинцев 831",0,2,3,2323937
"Иллирика Донцова",11.3,"Зверево",1,"Аллея Норильская 266",0,2,6,327689
"Руслана Кондратова",37.9,"Уфа",3,"Аллея Алымов 208",0,2,23,5009965
"Жанна Панаева",18.06,"Серов",1,"ул. Николаевская 693",1,8,10,2564015
"Теона Мишустина",96.97,"Серов",7,"ул. Домостроительная 517",0,14,20,6736381
"Юлиан Мамлеев",22.83,"Братск",2,"ул. Федорова 863",1,4,5,3027700
"Лев Девяткин",74.89,"Серов",5,"ул. Кисловский Ср. 38",0,8,10,14063341
"Станислав Панов",110.21,"Серов",6,"ул. Якиманка Б. 839",0,5,19,10217397
"Милен Лебедева",109.91,"Серов",7,"Аллея Иерусалимская 241",1,6,10,15640923
"Руслан Афлатуни",15.15,"Камешково",1,"Аллея Уссурийская 1235",1,17,22,1479668
"Индира Некрасова",20.11,"Серов",1,"Аллея Петровка 71",0,2,4,2944142
"Ая Протоклитова",55.4,"Данков",4,"ул. Фрезерная 2-я 32",1,3,5,6011974
"Доминика Алимпиева",82.15,"Зверево",5,"Аллея Чугунные Ворота 1072",1,2,3,17749811
"Филипп Каштанов",51.52,"Серов",5,"Аллея Касаткина 241",0,11,18,4036242
"Антон Стратоников",16.99,"Зверево",1,"Аллея Серебрякова 791",0,1,1,2131672
"Созон Прокопьев",115.04,"Серов",9,"ул. Каретный Б. 772",0,3,4,12801212
"Геннадий Демидов",14.85,"Серов",1,"ул. Бойня 52",1,1,25,879144
"Акакий Супрунов",98.65,"Серов",9,"ул. Мясищева 214",0,2,7,7622117
"Шелли Лужина",14.72,"Данков",1,"Аллея Ефремова 1013",1,4,8,1855972
"Игорь Нарежный",180.4,"Зверево",13,"Аллея Озерковская 169",0,2,4,13758824
"Варфоломей Морщаков",19.56,"Братск",2,"ул. Покрышкина 176",0,14,21,1566165
"Валерий Нефёдов",13.37,"Данков",1,"Аллея Бауманская 1268",0,11,19,338319
"Влас Сегал",18.74,"Данков",1,"Аллея Ордынская 937",1,5,14,1082958
"Виктор Рябов",32.19,"Камешково",3,"Аллея Загорьевская 128",0,16,21,2690373
"Элиза Егорьева",75.76,"Данков",5,"Аллея Маршала Чуйкова 131",0,4,15,11814135
"Порфирий Пахмутов",35.83,"Данков",2,"Аллея Мурановская 504",0,7,9,2982708
"Виолетта Азарьина",101.72,"Уфа",6,"ул. Волоколамская 728",0,3,8,11248486
